Date,InvoiceLineId,InvoiceId,TrackId,Track,UnitPrice,Quantity,Revenue,GenreId,Genre,CustomerId,Customer,Country,EmployeeId,EmployeeName
"2021-01-01 00:00:00",1,1,2,"Balls to the Wall",0.99,1,0.99,1,Rock,2,"Leonie Köhler",Germany,5,"Steve Johnson"
"2021-01-01 00:00:00",2,1,4,"Restless and Wild",0.99,1,0.99,1,Rock,2,"Leonie Köhler",Germany,5,"Steve Johnson"
"2021-01-02 00:00:00",3,2,6,"Put The Finger On You",0.99,1,0.99,1,Rock,4,"Bjørn Hansen",Norway,4,"Margaret Park"
"2021-01-02 00:00:00",4,2,8,"Inject The Venom",0.99,1,0.99,1,Rock,4,"Bjørn Hansen",Norway,4,"Margaret Park"
"2021-01-02 00:00:00",5,2,10,"Evil Walks",0.99,1,0.99,1,Rock,4,"Bjørn Hansen",Norway,4,"Margaret Park"
"2021-01-02 00:00:00",6,2,12,"Breaking The Rules",0.99,1,0.99,1,Rock,4,"Bjørn Hansen",Norway,4,"Margaret Park"
"2021-01-03 00:00:00",7,3,16,"Dog Eat Dog",0.99,1,0.99,1,Rock,8,"Daan Peeters",Belgium,4,"Margaret Park"
"2021-01-03 00:00:00",8,3,20,Overdose,0.99,1,0.99,1,Rock,8,"Daan Peeters",Belgium,4,"Margaret Park"
"2021-01-03 00:00:00",9,3,24,"Love In An Elevator",0.99,1,0.99,1,Rock,8,"Daan Peeters",Belgium,4,"Margaret Park"
"2021-01-03 00:00:00",10,3,28,"Janie's Got A Gun",0.99,1,0.99,1,Rock,8,"Daan Peeters",Belgium,4,"Margaret Park"
"2021-01-03 00:00:00",11,3,32,"Deuces Are Wild",0.99,1,0.99,1,Rock,8,"Daan Peeters",Belgium,4,"Margaret Park"
"2021-01-03 00:00:00",12,3,36,Angel,0.99,1,0.99,1,Rock,8,"Daan Peeters",Belgium,4,"Margaret Park"
"2021-01-06 00:00:00",13,4,42,"Right Through You",0.99,1,0.99,1,Rock,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",14,4,48,"Not The Doctor",0.99,1,0.99,1,Rock,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",15,4,54,"Bleed The Freak",0.99,1,0.99,1,Rock,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",16,4,60,Confusion,0.99,1,0.99,1,Rock,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",17,4,66,"Por Causa De Você",0.99,1,0.99,2,Jazz,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",18,4,72,Angela,0.99,1,0.99,2,Jazz,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",19,4,78,"Master Of Puppets",0.99,1,0.99,3,Metal,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",20,4,84,"Welcome Home (Sanitarium)",0.99,1,0.99,3,Metal,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-06 00:00:00",21,4,90,"Set It Off",0.99,1,0.99,1,Rock,14,"Mark Philips",Canada,5,"Steve Johnson"
"2021-01-11 00:00:00",22,5,99,"Your Time Has Come",0.99,1,0.99,4,"Alternative & Punk",23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",23,5,108,Dandelion,0.99,1,0.99,4,"Alternative & Punk",23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",24,5,117,"Rock 'N' Roll Music",0.99,1,0.99,5,"Rock And Roll",23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",25,5,126,"Moon germs",0.99,1,0.99,2,Jazz,23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",26,5,135,"Super Terrorizer",0.99,1,0.99,3,Metal,23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",27,5,144,"Heart Of Gold",0.99,1,0.99,3,Metal,23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",28,5,153,"Evil Woman",0.99,1,0.99,3,Metal,23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",29,5,162,Cornucopia,0.99,1,0.99,3,Metal,23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",30,5,171,"Bowels Of The Devil",0.99,1,0.99,4,"Alternative & Punk",23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",31,5,180,"Body Count Anthem",0.99,1,0.99,4,"Alternative & Punk",23,"John Gordon",USA,4,"Margaret Park"
"2021-01-11 00:00:00",32,5,189,Jerusalem,0.99,1,0.99,3,Metal,23,"John Gordon",USA,4,"Margaret Park"
